2019-07-29;2019-07-29 15:22:55;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:12;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:15;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:16;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:17;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:20;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:22;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:28;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:34;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:38;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:56;127.0.0.1;;;;
2019-07-29;2019-07-29 15:23:59;127.0.0.1;;;;
2019-07-29;2019-07-29 15:34:59;127.0.0.1;;;;
2019-07-29;2019-07-29 15:35:02;127.0.0.1;;;;
2019-07-29;2019-07-29 15:35:03;127.0.0.1;;;;
2019-07-29;2019-07-29 15:35:08;127.0.0.1;;;;
2019-07-29;2019-07-29 15:35:13;127.0.0.1;;;;
2019-07-29;2019-07-29 15:36:59;127.0.0.1;;;;
2019-07-29;2019-07-29 15:37:08;127.0.0.1;;;;
2019-07-29;2019-07-29 15:37:37;127.0.0.1;;;;
2019-07-29;2019-07-29 15:37:40;127.0.0.1;;;;
2019-07-29;2019-07-29 15:37:44;127.0.0.1;;;;
2019-07-29;2019-07-29 15:37:53;127.0.0.1;;;;
2019-07-29;2019-07-29 15:37:55;127.0.0.1;;;;
2019-07-29;2019-07-29 15:37:56;127.0.0.1;;;;
2019-07-29;2019-07-29 15:37:59;127.0.0.1;;;;
2019-07-29;2019-07-29 15:38:02;127.0.0.1;;;;
2019-07-29;2019-07-29 15:42:15;127.0.0.1;;;;
2019-07-29;2019-07-29 15:43:29;127.0.0.1;;;;
2019-07-29;2019-07-29 15:52:22;127.0.0.1;;;;
2019-07-29;2019-07-29 15:52:29;127.0.0.1;;;;
2019-07-29;2019-07-29 15:52:30;127.0.0.1;;;;
2019-07-29;2019-07-29 15:52:32;127.0.0.1;;;;
2019-07-29;2019-07-29 15:52:37;127.0.0.1;;;;
2019-07-29;2019-07-29 15:52:38;127.0.0.1;;;;
2019-07-29;2019-07-29 16:17:53;127.0.0.1;;;;
2019-07-29;2019-07-29 16:17:54;127.0.0.1;;;;
2019-07-29;2019-07-29 16:17:55;127.0.0.1;;;;
2019-07-29;2019-07-29 16:17:56;127.0.0.1;;;;
2019-07-29;2019-07-29 16:17:57;127.0.0.1;;;;
2019-07-29;2019-07-29 16:17:59;127.0.0.1;;;;
2019-07-29;2019-07-29 16:20:19;127.0.0.1;;;;
2019-07-29;2019-07-29 18:18:33;127.0.0.1;;;;
2019-07-29;2019-07-29 18:18:34;127.0.0.1;;;;
2019-07-29;2019-07-29 18:18:35;127.0.0.1;;;;
2019-07-29;2019-07-29 18:18:36;127.0.0.1;;;;
2019-07-29;2019-07-29 18:18:43;127.0.0.1;;;;
2019-07-29;2019-07-29 20:46:41;127.0.0.1;;;;
2019-07-29;2019-07-29 20:46:42;127.0.0.1;;;;
2019-07-29;2019-07-29 20:46:44;127.0.0.1;;;;
2019-07-29;2019-07-29 20:46:45;127.0.0.1;;;;
