2019-07-31;2019-07-31 08:43:16;127.0.0.1;;;;
2019-07-31;2019-07-31 10:56:13;127.0.0.1;;;;
2019-07-31;2019-07-31 10:56:15;127.0.0.1;;;;
2019-07-31;2019-07-31 10:56:19;127.0.0.1;;;;
2019-07-31;2019-07-31 10:56:23;127.0.0.1;;;;
2019-07-31;2019-07-31 10:56:26;127.0.0.1;;;;
2019-07-31;2019-07-31 10:56:28;127.0.0.1;;;;
2019-07-31;2019-07-31 11:07:39;127.0.0.1;;;;
2019-07-31;2019-07-31 11:07:44;127.0.0.1;;;;
2019-07-31;2019-07-31 11:07:51;127.0.0.1;;;;
2019-07-31;2019-07-31 11:07:58;127.0.0.1;;;;
2019-07-31;2019-07-31 11:08:02;127.0.0.1;;;;
2019-07-31;2019-07-31 11:08:05;127.0.0.1;;;;
2019-07-31;2019-07-31 11:08:09;127.0.0.1;;;;
2019-07-31;2019-07-31 11:08:13;127.0.0.1;;;;
2019-07-31;2019-07-31 11:08:15;127.0.0.1;;;;
2019-07-31;2019-07-31 11:08:20;127.0.0.1;;;;
2019-07-31;2019-07-31 11:08:25;127.0.0.1;;;;
2019-07-31;2019-07-31 11:08:25;127.0.0.1;;;;
2019-07-31;2019-07-31 11:08:25;127.0.0.1;;;;
2019-07-31;2019-07-31 11:19:56;127.0.0.1;;;;
2019-07-31;2019-07-31 22:09:00;127.0.0.1;;;;
2019-07-31;2019-07-31 22:09:04;127.0.0.1;;;;
2019-07-31;2019-07-31 22:09:27;127.0.0.1;;;;
2019-07-31;2019-07-31 22:09:28;127.0.0.1;;;;
2019-07-31;2019-07-31 22:12:44;127.0.0.1;;;;
